 NCBI accesion,BioProject,link,SRA ID,RUN,Spots,Bases
SAMN30102592,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102592,SRS14396838,SRR20749844,2.7M,715.4M
SAMN30102593,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102593,SRS14396839,SRR20749843,1.8M,478M
SAMN30102594,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102594,SRS14396840,SRR20749842,2.3M,564.1M
SAMN30102595,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102595,SRS14396841,SRR20749841,2.3M,562.5M
SAMN30102596,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102596,SRS14396843,SRR20749839,2.2M,559.2M
SAMN30102597,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102597,SRS14396844,SRR20749838,1.1M,281.7M
SAMN30102598,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102598,SRS14396845,SRR20749837,1.2M,331.7M
SAMN30102599,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102599,SRS14396846,SRR20749836,"813,210",223.2M
SAMN30102600,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102600,SRS14396847,SRR20749835,1.2M,326.3M
SAMN30102601,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102601,SRS14396848,SRR20749834,1.1M,298.3M
SAMN30102602,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102602,SRS14396849,SRR20749833,1.1M,283.5M
SAMN30102603,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102603,SRS14396850,SRR20749832,"854,358",233.4M
SAMN30102604,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102604,SRS14396851,SRR20749831,"830,387",219.8M
SAMN30102605,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102605,SRS14396852,SRR20749830,"237,891",61.2M
SAMN30102606,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102606,SRS14396854,SRR20749828,1.1M,286.5M
SAMN30102607,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102607,SRS14396855,SRR20749827,1.1M,311.3M
SAMN30102608,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102608,SRS14396856,SRR20749826,1.1M,288.2M
SAMN30102609,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102609,SRS14396857,SRR20749825,1.3M,355M
SAMN30102610,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102610,SRS14396858,SRR20749824,"830,334",227.6M
SAMN30102611,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102611,SRS14396859,SRR20749823,"763,048",208.9M
SAMN30102612,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102612,SRS14396860,SRR20749822,1.8M,488.3M
SAMN30102613,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102613,SRS14396861,SRR20749821,"517,940",141M
SAMN30102614,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102614,SRS14396862,SRR20749820,1.2M,310.8M
SAMN30102615,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102615,SRS14396863,SRR20749819,"845,342",232.1M
SAMN30102616,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102616,SRS14396865,SRR20749817,2.4M,630.9M
SAMN30102617,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102617,SRS14396866,SRR20749816,1.6M,434.8M
SAMN30102618,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102618,SRS14396867,SRR20749815,1.6M,416.2M
SAMN30102619,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102619,SRS14396868,SRR20749814,1.3M,372M
SAMN30102620,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102620,SRS14396869,SRR20749813,2.1M,543.1M
SAMN30102621,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102621,SRS14396870,SRR20749812,"617,918",175.2M
SAMN30102622,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102622,SRS14396871,SRR20749811,1.2M,328.6M
SAMN30102623,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102623,SRS14396872,SRR20749810,1.6M,424.6M
SAMN30102624,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102624,SRS14396873,SRR20749809,"860,832",238.5M
SAMN30102625,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102625,SRS14396874,SRR20749808,"993,907",267.3M
SAMN30102626,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102626,SRS14396877,SRR20749805,"787,684",216.9M
SAMN30102627,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102627,SRS14396878,SRR20749804,1.2M,334.2M
SAMN30102628,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102628,SRS14396879,SRR20749803,"666,290",185.7M
SAMN30102629,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102629,SRS14396880,SRR20749802,"84,929",24.8M
